PRKAA1	1.36294263646448
ATM	1.10609760569639
BCL2	1.53242027038988
CHEK2	1.40620615459182
CLDN7	1.74599400133325
CCNB1	1.36213852148037
PARK7	1.25183785983074
ESR1	3.97654871277809
IGFBP2	1.81570833204872
MAPK1	2.60350102169683
MAPK3	2.60350102169683
CDH3	1.89506956186104
PGR	1.09452911115143
STAT5A	1.3800947659749
SRC	1.38119868233868
SYK	1.15749985807066
KIT	1.21109647045142
FRAP1	1.08383490131035
MAPK14	1.22833320159468
ATAD2B	1
BTBD3	1
FAM47B	1
FLG	1
KIAA1377	1
KPNA2	1
KRT14	1
KRTAP10-5	1
MKRN2	1
MORN3	1
MYH1	1
NHLRC1	1
PACSIN2	1
PGAP2	1
PLIN4	1
POSTN	1
SESN2	1
SFRS16	1
TAF1	1
TG	1
TRIM6	1
UNC13C	1
UNC93A	1
WRAP53	1
ZNF320	1
ZXDC	1
